FechaHora,Latitud,Longitud,Altitud,Orientacion,SatelitesVisibles,Humedad,Temperatura,Presion,CO2,TVOC,PPM_GLP,PPM_CO,PM2_5,PM10
15/05/2021 13:26:00,0.0000000,0.0000000,-17.000,137.79,0,52.45,23.51,940.85,1404.00,152.00,3.44,3.79,5.73,6.27
15/05/2021 13:26:10,0.0000000,0.0000000,-17.000,138.02,0,50.98,23.50,940.81,1041.00,97.00,3.59,3.62,5.73,6.27
15/05/2021 13:26:20,0.0000000,0.0000000,-17.000,138.53,0,50.09,23.51,940.81,1334.00,142.00,3.44,3.71,5.73,6.28
15/05/2021 13:26:30,0.0000000,0.0000000,-17.000,138.88,0,49.78,23.51,940.84,1612.00,257.00,3.38,3.54,5.73,6.28
15/05/2021 13:26:40,0.0000000,0.0000000,-17.000,139.11,0,49.53,23.50,940.84,1316.00,139.00,3.23,3.62,5.73,6.28
15/05/2021 13:26:50,0.0000000,0.0000000,-17.000,138.76,0,49.25,23.51,940.90,2425.00,1623.00,3.26,4.52,5.73,6.28
15/05/2021 13:27:00,0.0000000,0.0000000,-17.000,138.89,0,49.25,23.54,940.89,1113.00,108.00,3.26,4.05,5.73,6.28
15/05/2021 13:27:10,0.0000000,0.0000000,-17.000,139.01,0,49.20,23.59,940.88,567.00,25.00,3.35,3.62,5.73,6.28
15/05/2021 13:28:20,0.0000000,0.0000000,-17.000,139.29,0,49.27,23.66,940.86,2088.00,897.00,25.63,5.36,5.05,5.53
15/05/2021 13:28:40,0.0000000,0.0000000,-17.000,138.24,0,50.11,23.65,940.89,2106.00,933.00,21.34,4.92,5.06,5.53
15/05/2021 13:31:20,0.0000000,0.0000000,-17.000,139.28,0,49.58,23.78,940.85,704.00,46.00,3.03,3.96,0.00,0.00
15/05/2021 13:31:30,0.0000000,0.0000000,-17.000,139.14,0,49.37,23.79,940.90,517.00,17.00,2.99,4.05,0.00,0.00
15/05/2021 13:31:40,0.0000000,0.0000000,-17.000,139.20,0,50.29,23.82,940.90,526.00,19.00,2.64,4.15,0.00,0.00
15/05/2021 13:31:50,0.0000000,0.0000000,-17.000,139.28,0,49.32,23.82,940.88,694.00,44.00,2.71,4.05,0.00,0.00
15/05/2021 13:32:00,0.0000000,0.0000000,-17.000,139.35,0,49.31,23.84,940.89,446.00,7.00,2.44,3.96,0.00,0.00
15/05/2021 13:32:10,0.0000000,0.0000000,-17.000,139.48,0,49.43,23.85,940.87,578.00,27.00,2.36,4.05,0.00,0.00
15/05/2021 13:33:10,0.0000000,0.0000000,-17.000,139.18,0,49.76,23.86,940.83,32768.00,29206.00,21.16,1294.42,4.16,4.54
15/05/2021 13:33:20,0.0000000,0.0000000,-17.000,138.54,0,48.71,23.90,940.83,4260.00,5539.00,11.09,7.10,4.16,4.54
15/05/2021 13:33:30,0.0000000,0.0000000,-17.000,138.56,0,49.13,23.90,940.84,3171.00,3207.00,6.56,4.96,4.16,4.54
15/05/2021 13:33:40,0.0000000,0.0000000,-17.000,138.90,0,48.59,23.87,940.85,2399.00,1567.00,5.28,4.15,4.16,4.54
15/05/2021 13:33:50,0.0000000,0.0000000,-17.000,139.18,0,48.28,23.84,940.79,2253.00,1252.00,4.65,4.15,4.16,4.54
15/05/2021 13:34:00,0.0000000,0.0000000,-17.000,139.47,0,48.21,23.81,940.81,2148.00,1023.00,3.99,3.87,4.16,4.54
15/05/2021 13:34:10,0.0000000,0.0000000,-17.000,139.53,0,48.15,23.76,940.80,2088.00,894.00,3.96,3.70,4.16,4.54
15/05/2021 13:34:20,0.0000000,0.0000000,-17.000,139.59,0,48.18,23.69,940.78,1913.00,603.00,3.85,3.78,4.16,4.54
15/05/2021 13:34:30,0.0000000,0.0000000,-17.000,139.61,0,48.39,23.63,940.81,1500.00,172.00,3.46,3.70,4.16,4.54
15/05/2021 13:34:40,0.0000000,0.0000000,-17.000,139.68,0,48.49,23.56,940.79,1507.00,177.00,3.44,3.61,4.16,4.54
15/05/2021 13:34:50,0.0000000,0.0000000,-17.000,139.72,0,48.51,23.50,940.77,1601.00,246.00,3.12,3.53,4.16,4.54
15/05/2021 13:35:00,0.0000000,0.0000000,-17.000,139.74,0,48.69,23.43,940.78,2104.00,928.00,3.10,3.44,4.15,4.53
15/05/2021 13:35:10,0.0000000,0.0000000,-17.000,139.73,0,49.12,23.38,940.74,2138.00,999.00,2.88,3.53,4.15,4.53
15/05/2021 13:35:20,0.0000000,0.0000000,-17.000,139.70,0,49.56,23.32,940.75,1809.00,460.00,2.79,3.36,4.16,4.54
15/05/2021 13:35:30,0.0000000,0.0000000,-17.000,139.71,0,49.92,23.29,940.77,1542.00,200.00,2.41,3.21,4.16,4.53
15/05/2021 13:35:50,0.0000000,0.0000000,-17.000,139.61,0,50.09,23.27,940.73,1633.00,276.00,2.18,2.91,4.16,4.53
