FechaHora,Latitud,Longitud,Altitud,Orientacion,SatelitesVisibles,Humedad,Temperatura,Presion,CO2,TVOC,PPM_GLP,PPM_CO,PM2_5,PM10
15/05/2021 18:05:40,40.2417490,-3.7782383,676.630,27.35,0,49.35,19.58,941.20,1429.00,156.00,3.54,32.88,6.76,7.42
15/05/2021 18:05:50,40.2417490,-3.7782383,676.630,27.48,0,49.30,19.49,941.21,1523.00,187.00,3.33,38.36,6.76,7.42
15/05/2021 18:06:00,40.2417490,-3.7782383,676.630,27.72,0,49.46,19.41,941.21,1341.00,143.00,3.15,36.93,6.76,7.42
15/05/2021 18:06:10,40.2417490,-3.7782383,676.630,28.08,0,60.33,19.61,941.27,5275.00,7707.00,14.14,59.09,6.76,7.42
15/05/2021 18:06:20,40.2417490,-3.7782383,676.630,48.00,0,65.65,20.29,941.23,5220.00,7599.00,154.59,190.90,6.76,7.42
15/05/2021 18:06:30,40.2417490,-3.7782383,676.630,52.57,0,69.10,21.26,941.26,4464.00,5976.00,28.04,6408.98,6.76,7.42
15/05/2021 18:06:40,40.2417490,-3.7782383,676.630,44.79,0,66.04,21.50,941.29,3428.00,3770.00,47.06,59.09,6.76,7.42
15/05/2021 18:08:20,40.2417490,-3.7782383,676.630,0.02,0,50.01,20.08,941.21,472.00,10.00,2.56,4.01,11.34,15.64
15/05/2021 18:08:30,40.2417490,-3.7782383,676.630,5.23,0,49.76,19.93,941.19,1572.00,223.00,2.27,3.59,11.34,15.64
15/05/2021 18:08:40,40.2417490,-3.7782383,676.630,12.08,0,65.52,20.61,941.21,3332.00,3562.00,6.11,4.01,11.34,15.64
15/05/2021 18:08:50,40.2417490,-3.7782383,676.630,49.84,0,71.23,22.12,941.20,2732.00,2296.00,11.14,4.16,11.34,15.64
15/05/2021 18:09:00,40.2417490,-3.7782383,676.630,72.95,0,72.51,23.16,941.16,2490.00,1758.00,27.56,7.85,11.34,15.64
15/05/2021 18:09:10,40.2417490,-3.7782383,676.630,79.78,0,75.10,24.48,941.28,2572.00,1930.00,54.34,7.61,11.34,15.64
15/05/2021 18:09:20,40.2417490,-3.7782383,676.630,93.39,0,73.58,24.50,941.24,2750.00,2326.00,16.82,5.87,11.34,15.64
15/05/2021 18:09:30,40.2417490,-3.7782383,676.630,80.40,0,69.03,24.07,941.24,2311.00,1385.00,6.98,3.33,11.34,15.64
15/05/2021 18:09:40,40.2417490,-3.7782383,676.630,77.11,0,60.27,23.72,941.20,967.00,86.00,7.15,2.85,11.34,15.64
