FechaHora,Latitud,Longitud,Altitud,Orientacion,SatelitesVisibles,Humedad,Temperatura,Presion,CO2,TVOC,PPM_GLP,PPM_CO,PM2_5,PM10
24/05/2021 09:54:50,40.3350750,-3.7649372,673.680,0.00,9,14.12,40.09,944.63,400.00,0.00,3.25,2.98,0.00,0.00
24/05/2021 09:55:00,40.3350720,-3.7649305,674.100,262.43,9,14.04,40.09,944.67,400.00,0.00,3.01,2.69,0.00,0.00
24/05/2021 09:55:10,40.3350750,-3.7649176,674.680,262.31,9,14.20,40.12,944.65,456.00,8.00,3.18,2.98,0.00,0.00
24/05/2021 09:55:20,40.3350750,-3.7649081,675.440,262.24,9,14.14,40.22,944.70,599.00,30.00,3.08,2.78,0.00,0.00
24/05/2021 09:55:30,40.3350720,-3.7649081,675.690,262.11,9,14.13,40.23,944.71,524.00,18.00,2.97,2.50,0.00,0.00
24/05/2021 09:55:40,40.3350680,-3.7649095,678.120,261.90,9,14.09,40.25,944.72,1659.00,297.00,7.25,4.03,0.00,0.00
24/05/2021 09:55:50,40.3350640,-3.7649093,679.070,261.71,9,13.98,40.20,944.71,2092.00,903.00,6.83,3.66,0.00,0.00
24/05/2021 09:56:00,40.3350640,-3.7649064,678.780,261.55,9,13.95,40.18,944.69,1811.00,463.00,6.09,3.66,0.00,0.00
24/05/2021 09:56:10,40.3350640,-3.7649021,678.610,261.36,9,14.03,40.18,944.68,1729.00,366.00,5.88,3.42,0.00,0.00
24/05/2021 09:56:20,40.3350640,-3.7648945,679.570,261.25,9,13.95,40.18,944.72,1917.00,611.00,5.46,3.31,0.00,0.00
24/05/2021 09:56:30,40.3350600,-3.7648883,681.570,261.18,9,13.81,39.93,944.75,1681.00,320.00,5.06,2.88,0.00,0.00
24/05/2021 09:56:40,40.3350640,-3.7648921,681.390,261.17,9,13.98,39.41,944.76,1014.00,93.00,4.87,2.78,0.00,0.00
24/05/2021 09:56:50,40.3350680,-3.7648952,681.250,261.18,9,14.09,39.61,944.78,770.00,56.00,4.97,2.88,0.00,0.00
24/05/2021 09:57:00,40.3350720,-3.7648923,681.280,261.14,9,13.98,39.93,944.74,770.00,56.00,4.97,2.59,0.00,0.00
24/05/2021 09:57:10,40.3350680,-3.7648959,682.150,261.11,9,13.80,40.10,944.75,1508.00,177.00,4.64,2.69,0.00,0.00
24/05/2021 09:57:20,40.3350640,-3.7649064,680.790,261.06,9,13.73,40.10,944.73,1664.00,302.00,4.50,2.33,0.00,0.00
24/05/2021 09:57:30,40.3350640,-3.7649028,681.860,261.00,9,13.79,39.93,944.73,1544.00,203.00,4.42,2.24,0.00,0.00
24/05/2021 09:57:40,40.3350680,-3.7649057,682.610,260.99,9,13.91,39.63,944.76,503.00,15.00,4.20,2.50,0.00,0.00
24/05/2021 09:57:50,40.3350830,-3.7649052,682.760,252.93,10,14.04,39.46,944.80,427.00,4.00,3.95,2.50,0.00,0.00
24/05/2021 09:58:00,40.3350680,-3.7648945,683.410,259.40,10,14.37,39.40,944.77,1725.00,363.00,4.03,2.33,0.00,0.00
24/05/2021 09:58:10,40.3351060,-3.7649016,681.570,238.47,10,14.37,39.42,944.79,1651.00,291.00,3.87,2.33,0.00,0.00
24/05/2021 09:58:20,40.3351170,-3.7649508,679.440,222.14,10,14.33,39.47,944.77,1523.00,187.00,3.91,2.08,0.00,0.00
24/05/2021 09:58:30,40.3351400,-3.7649975,677.780,192.81,10,14.38,39.37,944.74,1436.00,157.00,3.59,3.09,0.00,0.00
24/05/2021 09:58:40,40.3352280,-3.7652681,678.100,69.08,10,14.36,38.99,944.76,1134.00,111.00,3.55,2.41,0.00,0.00
24/05/2021 09:58:50,40.3358380,-3.7653241,676.070,74.44,10,14.72,38.59,944.79,920.00,79.00,3.71,2.59,0.00,0.00
24/05/2021 09:59:00,40.3362960,-3.7651415,673.250,103.38,10,14.79,38.16,944.76,480.00,12.00,3.48,2.59,0.00,0.00
24/05/2021 09:59:10,40.3363910,-3.7643940,668.850,177.17,10,14.83,38.51,944.68,439.00,5.00,3.59,2.50,0.00,0.00
24/05/2021 09:59:20,40.3357810,-3.7635157,668.850,328.63,10,15.02,38.41,944.66,1128.00,110.00,3.36,2.41,0.00,0.00
24/05/2021 09:59:30,40.3351140,-3.7629681,669.320,304.50,9,15.11,38.18,944.85,1307.00,138.00,3.25,2.50,0.00,0.00
24/05/2021 09:59:40,40.3347360,-3.7625291,668.750,171.61,10,15.11,37.58,944.94,1474.00,163.00,3.44,6.78,0.00,0.00
24/05/2021 09:59:50,40.3347170,-3.7616143,664.620,166.09,9,15.70,36.24,944.99,410.00,1.00,3.25,3.31,0.00,0.00
24/05/2021 10:00:00,40.3349080,-3.7607808,640.330,173.02,8,16.41,35.11,945.26,776.00,57.00,3.11,2.59,0.00,0.00
24/05/2021 10:00:10,40.3347050,-3.7599883,655.020,147.83,9,17.03,34.54,945.55,1537.00,197.00,3.29,2.78,0.00,0.00
24/05/2021 10:00:20,40.3347780,-3.7591383,648.750,177.41,8,17.44,33.95,945.89,1566.00,219.00,3.04,2.98,0.00,0.00
24/05/2021 10:00:30,40.3344000,-3.7586596,651.200,281.10,10,18.40,33.80,945.93,1566.00,219.00,2.97,2.01,0.00,0.00
24/05/2021 10:00:40,40.3337750,-3.7587829,652.700,275.77,10,18.26,34.01,945.75,1641.00,283.00,2.91,2.16,0.00,0.00
24/05/2021 10:00:50,40.3330990,-3.7589252,665.560,276.36,10,17.83,34.30,945.50,1665.00,304.00,2.84,1.72,0.00,0.00
24/05/2021 10:01:00,40.3325040,-3.7590015,672.370,274.65,8,17.52,34.76,945.59,1474.00,163.00,2.74,1.65,0.00,0.00
24/05/2021 10:01:10,40.3319130,-3.7590089,665.380,281.45,10,17.37,34.98,945.73,508.00,16.00,2.81,1.79,0.00,0.00
