FechaHora,Latitud,Longitud,Altitud,Orientacion,SatelitesVisibles,Humedad,Temperatura,Presion,CO2,TVOC,PPM_GLP,PPM_CO,PM2_5,PM10
25/05/2021 10:18:20,40.2816090,-3.8009636,688.220,77.76,12,42.00,18.36,946.20,473.00,11.00,1.62,1.22,5.00,10.47
25/05/2021 10:18:30,40.2816090,-3.8009636,690.660,77.35,12,42.30,18.12,946.15,400.00,0.00,1.46,0.88,5.00,10.47
25/05/2021 10:18:40,40.2816050,-3.8009667,691.300,76.83,10,43.35,17.29,946.14,540.00,21.00,0.83,0.37,5.00,10.47
25/05/2021 10:18:50,40.2815930,-3.8009601,690.280,76.32,11,44.22,17.14,946.22,728.00,49.00,1.54,1.40,5.00,10.47
25/05/2021 10:19:00,40.2815900,-3.8009503,687.700,75.78,10,44.59,17.24,946.22,659.00,39.00,1.46,1.22,5.00,10.47
25/05/2021 10:19:10,40.2815860,-3.8009472,687.460,75.39,10,44.24,17.67,946.18,400.00,0.00,1.54,1.22,4.99,10.47
25/05/2021 10:19:20,40.2815820,-3.8009453,688.760,75.16,11,43.91,17.75,946.20,618.00,33.00,1.38,1.05,5.00,10.48
25/05/2021 10:19:30,40.2815820,-3.8009508,692.740,74.89,11,43.26,18.18,946.16,589.00,28.00,1.42,1.13,5.00,10.48
25/05/2021 10:19:40,40.2815780,-3.8009512,695.260,74.73,11,42.75,18.12,946.17,589.00,28.00,1.11,1.31,5.00,10.48
25/05/2021 10:19:50,40.2815860,-3.8009553,694.500,74.66,11,42.49,18.39,946.17,1599.00,245.00,1.19,1.13,5.00,10.48
25/05/2021 10:20:00,40.2815860,-3.8009503,693.600,74.75,10,42.48,18.38,946.17,1487.00,165.00,1.11,0.96,5.00,10.48
25/05/2021 10:20:10,40.2815900,-3.8009441,691.130,74.81,11,42.20,18.74,946.14,1360.00,146.00,1.15,0.88,5.00,10.48
25/05/2021 10:20:20,40.2815860,-3.8009448,689.550,74.79,11,41.82,18.76,946.13,1014.00,93.00,1.04,0.96,5.00,10.48
25/05/2021 10:20:30,40.2815860,-3.8009515,689.440,74.75,11,41.79,18.60,946.16,400.00,0.00,0.93,1.05,5.00,10.48
25/05/2021 10:20:40,40.2815780,-3.8009520,690.770,74.18,11,42.85,17.81,946.17,577.00,26.00,0.90,0.88,5.00,10.48
25/05/2021 10:20:50,40.2815700,-3.8009501,692.160,73.70,11,43.50,17.66,946.14,748.00,53.00,1.08,0.80,5.97,6.54
25/05/2021 10:21:00,40.2815670,-3.8009491,690.390,73.52,11,43.68,17.66,946.14,481.00,12.00,1.15,1.13,5.96,6.54
25/05/2021 10:21:10,40.2815700,-3.8009477,688.900,73.49,11,44.37,17.13,946.21,1629.00,272.00,1.04,1.05,5.96,6.54
25/05/2021 10:21:20,40.2815670,-3.8009419,689.300,73.46,11,45.12,16.79,946.20,1499.00,171.00,1.11,0.88,5.97,6.53
25/05/2021 10:21:30,40.2815700,-3.8009429,690.800,73.40,11,45.79,16.66,946.17,1543.00,202.00,0.86,0.80,5.97,6.54
25/05/2021 10:21:40,40.2815780,-3.8009448,695.430,73.38,11,46.31,16.43,946.18,1029.00,95.00,0.53,0.88,5.97,6.54
25/05/2021 10:21:50,40.2815860,-3.8009489,697.670,73.54,10,46.61,16.43,946.16,1238.00,127.00,0.86,0.80,5.97,6.54
25/05/2021 10:22:00,40.2815900,-3.8009560,696.540,73.67,12,46.33,16.62,946.18,1538.00,198.00,0.83,1.22,5.97,6.54
25/05/2021 10:22:10,40.2815900,-3.8009536,692.670,71.23,11,46.22,16.66,946.17,1389.00,150.00,0.66,0.80,5.97,6.54
25/05/2021 10:22:20,40.2815900,-3.8009508,688.910,69.23,12,45.96,16.77,946.18,1507.00,177.00,0.59,0.80,5.97,6.54
25/05/2021 10:22:30,40.2815900,-3.8009560,686.710,67.69,11,46.00,16.68,946.20,444.00,6.00,0.53,0.73,5.96,6.54
25/05/2021 10:22:40,40.2815900,-3.8009524,687.910,66.47,10,46.15,16.64,946.17,481.00,12.00,0.49,0.88,5.96,6.54
25/05/2021 10:22:50,40.2815900,-3.8009512,692.040,65.25,10,46.43,16.62,946.25,909.00,77.00,0.66,1.05,5.96,6.54
25/05/2021 10:23:00,40.2815860,-3.8009489,694.390,64.29,10,46.48,16.68,946.19,666.00,40.00,0.53,0.96,5.96,6.54
25/05/2021 10:23:10,40.2815860,-3.8009479,693.740,63.57,10,46.37,16.72,946.20,1352.00,145.00,0.66,0.88,5.96,6.53
25/05/2021 10:23:20,40.2815860,-3.8009436,691.920,62.99,10,46.39,16.78,946.19,1262.00,131.00,0.46,1.05,5.96,6.53
25/05/2021 10:23:30,40.2815860,-3.8009431,690.400,62.40,10,46.38,16.76,946.18,1774.00,421.00,0.31,0.88,5.96,6.53
25/05/2021 10:23:40,40.2815930,-3.8009417,687.950,61.92,11,46.48,16.62,946.22,1556.00,210.00,0.31,0.80,5.96,6.53
25/05/2021 10:23:50,40.2815900,-3.8009441,687.620,61.55,12,46.62,16.67,946.21,1413.00,154.00,0.34,0.50,5.96,6.53
25/05/2021 10:24:00,40.2815900,-3.8009512,688.280,61.35,12,46.66,16.53,946.16,600.00,30.00,0.22,0.30,5.96,6.53
25/05/2021 10:24:10,40.2815930,-3.8009565,688.040,61.37,13,46.37,16.79,946.22,920.00,79.00,0.56,0.73,4.80,5.26
25/05/2021 10:24:20,40.2815970,-3.8009577,687.800,61.41,13,46.01,17.02,946.21,783.00,58.00,0.56,0.88,4.80,5.26
25/05/2021 10:24:30,40.2815930,-3.8009579,685.910,61.44,11,45.55,17.21,946.20,832.00,65.00,0.56,0.73,4.80,5.26
25/05/2021 10:24:40,40.2815900,-3.8009560,684.460,61.48,11,45.53,17.23,946.18,1720.00,357.00,0.28,0.96,4.79,5.25
25/05/2021 10:24:50,40.2815930,-3.8009565,683.080,61.43,12,45.29,17.22,946.18,1753.00,394.00,0.28,0.96,4.79,5.25
25/05/2021 10:25:00,40.2815860,-3.8009496,683.260,61.42,12,45.62,16.88,946.19,1453.00,160.00,0.07,0.30,4.79,5.25
25/05/2021 10:25:10,40.2815860,-3.8009453,682.680,61.30,12,46.00,16.64,946.21,1372.00,148.00,0.22,0.43,4.79,5.25
25/05/2021 10:25:20,40.2815820,-3.8009405,681.860,61.02,12,46.47,16.40,946.17,1238.00,127.00,0.19,0.73,4.79,5.25
25/05/2021 10:25:30,40.2815740,-3.8009353,682.010,60.84,12,46.82,16.37,946.21,1594.00,241.00,0.43,1.13,4.81,5.26
25/05/2021 10:25:40,40.2815740,-3.8009336,682.490,60.73,13,46.88,16.37,946.19,1572.00,223.00,0.37,1.13,4.81,5.26
25/05/2021 10:25:50,40.2815700,-3.8009384,683.150,60.63,13,46.94,16.36,946.25,1534.00,195.00,0.40,0.65,4.81,5.26
25/05/2021 10:26:00,40.2815700,-3.8009431,682.350,60.60,13,46.72,16.56,946.24,702.00,46.00,0.28,1.05,4.81,5.26
